dataset,prompt_type,correct,total,accuracy,standard_error,ci95_low,ci95_high
pets,axioms_ontology_v2,4,4,1.0000,0.000000,0.5101,1.0000
pets,classification,4,4,1.0000,0.000000,0.5101,1.0000
pets,features,4,4,1.0000,0.000000,0.5101,1.0000
pets,nle,4,4,1.0000,0.000000,0.5101,1.0000
pets,rulebased,4,4,1.0000,0.000000,0.5101,1.0000
