source_model,judged_trials,textual_groundedness,textual_groundedness_se,hallucination_free,hallucination_free_se,concept_counting,concept_counting_se,comprehensibility,comprehensibility_se,conciseness,conciseness_se,specificity,specificity_se,discriminativeness,discriminativeness_se,instruction_following,instruction_following_se,logical_coherence,logical_coherence_se,overall_score,overall_score_se
google/gemini-2.5-flash,1148,3.7761,0.0273,4.6141,0.0248,4.5749,0.0348,4.7857,0.0131,4.9469,0.0074,4.1716,0.0236,4.1812,0.0327,4.3040,0.0285,4.3807,0.0334,4.4150,0.0158
google/gemma-4-26b-a4b-it,1149,3.5170,0.0288,4.7650,0.0208,4.6545,0.0321,4.7824,0.0140,4.8842,0.0149,3.9034,0.0248,3.8842,0.0370,4.3760,0.0289,4.4091,0.0319,4.3529,0.0155
meta-llama/llama-4-scout,1151,2.9487,0.0338,4.5230,0.0282,4.2424,0.0448,4.6838,0.0176,4.8784,0.0127,3.2520,0.0311,3.0521,0.0412,4.1338,0.0326,4.1868,0.0361,3.9890,0.0196
qwen/qwen3-vl-8b-instruct,1151,3.0096,0.0395,4.5361,0.0271,4.4700,0.0387,4.5821,0.0232,4.9557,0.0067,3.2068,0.0411,3.2094,0.0451,4.1955,0.0313,4.4405,0.0333,4.0673,0.0227
