prompt_type,correct,total,accuracy,standard_error,ci95_low,ci95_high
axioms_ontology_v2,1038,1152,0.9010,0.008798,0.8824,0.9170
classification,1080,1152,0.9375,0.007132,0.9220,0.9501
features,1072,1152,0.9306,0.007490,0.9144,0.9438
nle,1078,1152,0.9358,0.007223,0.9201,0.9485
rulebased,1063,1152,0.9227,0.007867,0.9059,0.9368
