config_n,config_k,model,correct,total,accuracy,standard_error,ci95_low,ci95_high
2,1,google/gemini-2.5-flash,230,240,0.9583,0.012899,0.9250,0.9772
2,5,google/gemini-2.5-flash,240,240,1.0000,0.000000,0.9842,1.0000
3,1,google/gemini-2.5-flash,233,240,0.9708,0.010862,0.9410,0.9858
3,5,google/gemini-2.5-flash,240,240,1.0000,0.000000,0.9842,1.0000
4,1,google/gemini-2.5-flash,217,240,0.9042,0.019001,0.8603,0.9353
4,5,google/gemini-2.5-flash,231,240,0.9625,0.012263,0.9303,0.9801
