prompt_type,correct,total,accuracy,standard_error,ci95_low,ci95_high
axioms_ontology_v2,277,288,0.9618,0.011294,0.9329,0.9785
classification,279,288,0.9688,0.010253,0.9417,0.9835
features,279,288,0.9688,0.010253,0.9417,0.9835
nle,280,288,0.9722,0.009684,0.9462,0.9859
rulebased,276,288,0.9583,0.011775,0.9286,0.9760
