prompt_type,model,dataset,correct,total,accuracy,standard_error,ci95_low,ci95_high
axioms_ontology_v2,google/gemma-4-26b-a4b-it,pets,4,4,1.0000,0.000000,0.5101,1.0000
classification,google/gemma-4-26b-a4b-it,pets,4,4,1.0000,0.000000,0.5101,1.0000
features,google/gemma-4-26b-a4b-it,pets,4,4,1.0000,0.000000,0.5101,1.0000
nle,google/gemma-4-26b-a4b-it,pets,4,4,1.0000,0.000000,0.5101,1.0000
rulebased,google/gemma-4-26b-a4b-it,pets,4,4,1.0000,0.000000,0.5101,1.0000
