Dataset,Prompt_Type,"(2,2,9)_run0","(2,2,9)_run1","(2,2,9)_run2","(2,1,9)_run0","(2,1,9)_run1","(2,1,9)_run2","(3,1,9)_run0","(3,1,9)_run1","(3,1,9)_run2","(4,1,9)_run0","(4,1,9)_run1","(4,1,9)_run2"
flowers,classification,1.0000,1.0000,1.0000,1.0000,0.9444,1.0000,0.7778,0.8519,0.9259,0.6667,0.4444,0.4444
pets,classification,1.0000,1.0000,1.0000,0.8333,0.8333,0.6667,0.7037,0.7407,0.7037,0.7500,0.8333,0.7778
cifar10,classification,0.7778,0.8889,0.7778,0.7778,0.7778,0.6111,1.0000,1.0000,1.0000,0.9444,0.9444,0.9444
dtd,classification,1.0000,0.9444,1.0000,0.8889,0.6667,0.5556,0.4815,0.5185,0.5926,0.7778,0.6667,0.6944
