Dataset,Prompt_Type,"(2,2,9)_run0","(2,2,9)_run1","(2,2,9)_run2","(2,1,9)_run0","(2,1,9)_run1","(2,1,9)_run2","(3,1,9)_run0","(3,1,9)_run1","(3,1,9)_run2","(4,1,9)_run0","(4,1,9)_run1","(4,1,9)_run2"
flowers,nle,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.7407,0.7778,0.9259,0.9444,0.9167,0.5833
pets,nle,1.0000,1.0000,1.0000,0.8889,1.0000,0.8889,0.7037,0.8148,0.8519,0.6667,0.8333,0.7222
cifar10,nle,0.8889,0.9444,0.8889,0.7222,0.7222,0.5000,1.0000,1.0000,1.0000,0.8056,0.7222,0.8611
dtd,nle,1.0000,0.9444,1.0000,0.8889,0.8333,0.8889,0.7037,0.7037,0.6667,0.7778,0.6389,0.8056
