Dataset,Prompt_Type,"(2,2,9)_run0","(2,2,9)_run1","(2,2,9)_run2","(2,1,9)_run0","(2,1,9)_run1","(2,1,9)_run2","(3,1,9)_run0","(3,1,9)_run1","(3,1,9)_run2","(4,1,9)_run0","(4,1,9)_run1","(4,1,9)_run2"
flowers,axioms_ontology_v2,0.8333,0.5000,0.5556,1.0000,0.5556,1.0000,0.3333,0.3333,0.3333,0.3056,0.2500,0.3889
pets,axioms_ontology_v2,0.9444,1.0000,1.0000,1.0000,1.0000,0.9444,0.6667,0.6667,0.6667,0.5000,0.5278,0.2500
cifar10,axioms_ontology_v2,0.6111,0.8333,0.5556,0.5000,0.5000,0.5000,0.9630,0.9630,0.9259,0.2500,0.2778,0.4722
dtd,axioms_ontology_v2,1.0000,1.0000,1.0000,0.5000,0.5000,0.5000,0.5556,0.6296,0.4444,0.4167,0.4444,0.3889
