Dataset,Prompt_Type,"(2,2,9)_run0","(2,2,9)_run1","(2,2,9)_run2","(2,1,9)_run0","(2,1,9)_run1","(2,1,9)_run2","(3,1,9)_run0","(3,1,9)_run1","(3,1,9)_run2","(4,1,9)_run0","(4,1,9)_run1","(4,1,9)_run2"
flowers,features,1.0000,1.0000,1.0000,1.0000,0.5000,1.0000,0.7037,0.7407,0.7778,0.5833,0.5556,0.5833
cifar10,features,0.8889,0.9444,0.8333,0.8889,1.0000,0.7222,1.0000,1.0000,0.9630,0.8333,0.4167,0.7778
dtd,features,1.0000,1.0000,1.0000,0.6667,0.5000,0.7222,0.4444,0.5926,0.5926,0.6667,0.6389,0.6667
pets,features,1.0000,0.9444,1.0000,0.7222,0.7778,0.6111,0.6667,0.9259,0.8519,0.7500,0.7500,0.7222
