Dataset,Prompt_Type,"(2,2,9)_run0","(2,2,9)_run1","(2,2,9)_run2","(2,1,9)_run0","(2,1,9)_run1","(2,1,9)_run2","(3,1,9)_run0","(3,1,9)_run1","(3,1,9)_run2","(4,1,9)_run0","(4,1,9)_run1","(4,1,9)_run2"
flowers,rulebased,1.0000,1.0000,1.0000,0.4444,0.5000,0.6111,0.3333,0.2963,0.3333,0.3333,0.1944,0.4167
pets,rulebased,0.4444,0.5000,0.5000,0.7778,0.6111,0.5000,0.4815,0.1481,0.2593,0.1111,0.2500,0.3056
dtd,rulebased,1.0000,0.9444,1.0000,0.5000,0.5000,0.6667,0.5185,0.5926,0.4815,0.3056,0.3889,0.2500
cifar10,rulebased,0.9444,0.6667,0.7222,0.5000,0.5000,0.5556,0.8519,0.7778,0.7037,0.6389,0.1389,0.7778
