prompt_type,correct,total,accuracy,standard_error,ci95_low,ci95_high
axioms_ontology_v2,0,4,0.0000,0.000000,0.0000,0.4899
classification,0,4,0.0000,0.000000,0.0000,0.4899
features,0,4,0.0000,0.000000,0.0000,0.4899
nle,0,4,0.0000,0.000000,0.0000,0.4899
rulebased,0,4,0.0000,0.000000,0.0000,0.4899
