source_model,judged_trials,textual_groundedness,textual_groundedness_se,hallucination_free,hallucination_free_se,concept_counting,concept_counting_se,comprehensibility,comprehensibility_se,conciseness,conciseness_se,specificity,specificity_se,discriminativeness,discriminativeness_se,instruction_following,instruction_following_se,logical_coherence,logical_coherence_se,overall_score,overall_score_se
google/gemini-2.5-flash,960,4.1781,0.0334,4.7375,0.0238,4.7854,0.0269,4.6229,0.0355,4.8990,0.0136,4.5958,0.0280,4.5146,0.0331,4.8969,0.0119,4.7698,0.0253,4.6667,0.0169
google/gemma-4-26b-a4b-it,953,3.8216,0.0363,4.7209,0.0254,4.8101,0.0253,4.5677,0.0351,4.8646,0.0175,4.3893,0.0322,4.2844,0.0380,4.8909,0.0136,4.7754,0.0225,4.5694,0.0167
meta-llama/llama-4-scout,927,3.2589,0.0397,4.4682,0.0344,4.4099,0.0437,4.4908,0.0399,4.7756,0.0193,3.8943,0.0424,3.6214,0.0500,4.8188,0.0176,4.5340,0.0330,4.2524,0.0235
qwen/qwen3-vl-8b-instruct,935,3.4118,0.0446,4.2995,0.0427,4.3176,0.0481,4.4096,0.0454,4.8428,0.0174,3.9572,0.0475,3.6941,0.0516,4.8000,0.0201,4.5754,0.0340,4.2565,0.0301
