metric,n,mean_bias,std_bias,median_bias,min_bias,max_bias,pct_judge_higher,pct_judge_lower,pct_equal
TG,192,-0.4688,0.7736,-0.5,-3.0,2.0,14.1,57.8,28.1
HF,192,0.0833,0.92,0.0,-3.0,3.0,19.3,15.1,65.6
CC,192,0.1276,1.3197,0.0,-4.0,2.5,47.9,15.1,37.0
CP,192,0.1302,0.5822,0.0,-1.0,3.0,17.7,10.4,71.9
Cn,192,0.1719,0.4421,0.0,-1.0,2.0,19.8,1.6,78.6
S,192,-0.0365,0.863,0.0,-2.5,2.0,32.8,40.1,27.1
LD,192,-0.3229,1.1734,0.0,-3.5,3.0,24.5,41.7,33.9
IF,192,-0.1901,0.9046,0.0,-3.0,2.5,16.7,29.7,53.6
LC,192,0.0495,0.9836,0.0,-4.0,4.0,30.7,18.2,51.0
