metric,n_pairs,kappa_linear,n_items,spearman_rho,mae
TG,192,0.411,192,0.741,0.672
HF,192,0.241,192,0.376,0.474
CC,192,0.077,192,0.234,0.867
CP,192,0.415,192,0.732,0.276
Cn,192,0.426,192,0.498,0.198
S,192,0.32,192,0.607,0.646
LD,192,0.332,192,0.656,0.865
IF,192,0.539,192,0.729,0.555
LC,192,0.357,192,0.624,0.56
