Dataset,Prompt_Type,"(2,2,9)_run0","(2,2,9)_run1","(2,2,9)_run2","(2,1,9)_run0","(2,1,9)_run1","(2,1,9)_run2","(3,1,9)_run0","(3,1,9)_run1","(3,1,9)_run2","(4,1,9)_run0","(4,1,9)_run1","(4,1,9)_run2"
pets,rulebased,1.0000,1.0000,1.0000,1.0000,0.9444,0.9444,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
flowers,rulebased,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9259,0.9630,1.0000,1.0000,0.9722,1.0000
cifar10,rulebased,1.0000,1.0000,0.9444,0.9444,1.0000,0.9444,0.9630,0.9259,0.8519,1.0000,0.8056,0.9444
dtd,rulebased,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9259,0.9259,0.8519,0.7778,0.8611,0.9444
