config_n,config_k,config_q,prompt_type,correct,total,accuracy,standard_error,ci95_low,ci95_high
2,1,1,axioms_ontology_v2,4,8,0.5000,0.176777,0.2152,0.7848
2,1,1,classification,4,8,0.5000,0.176777,0.2152,0.7848
2,1,1,features,4,8,0.5000,0.176777,0.2152,0.7848
2,1,1,nle,4,8,0.5000,0.176777,0.2152,0.7848
2,1,1,rulebased,4,8,0.5000,0.176777,0.2152,0.7848
