model,dataset,correct,total,accuracy,standard_error,ci95_low,ci95_high
google/gemma-4-26b-a4b-it,flowers,20,20,1.0000,0.000000,0.8389,1.0000
meta-llama/llama-3.2-11b-vision-instruct,flowers,0,20,0.0000,0.000000,0.0000,0.1611
