config_n,config_k,model,correct,total,accuracy,standard_error,ci95_low,ci95_high
2,1,google/gemma-4-26b-a4b-it,20,20,1.0000,0.000000,0.8389,1.0000
2,1,meta-llama/llama-3.2-11b-vision-instruct,0,20,0.0000,0.000000,0.0000,0.1611
