dataset,judged_trials,textual_groundedness,textual_groundedness_se,hallucination_free,hallucination_free_se,concept_counting,concept_counting_se,comprehensibility,comprehensibility_se,conciseness,conciseness_se,specificity,specificity_se,discriminativeness,discriminativeness_se,instruction_following,instruction_following_se,logical_coherence,logical_coherence_se,overall_score,overall_score_se
cifar10,1072,3.5616,0.0377,4.5196,0.0343,4.5131,0.0385,4.3470,0.0387,4.7761,0.0213,3.7920,0.0423,3.8330,0.0455,4.8265,0.0179,4.7024,0.0247,4.3190,0.0253
dtd,1056,3.8968,0.0372,4.5919,0.0316,4.6117,0.0353,4.4441,0.0355,4.7386,0.0234,4.2794,0.0376,4.0275,0.0453,4.7737,0.0213,4.6562,0.0268,4.4467,0.0255
flowers,1057,3.7493,0.0373,4.6651,0.0281,4.4749,0.0383,4.3955,0.0380,4.8155,0.0218,4.3094,0.0363,4.2441,0.0393,4.8146,0.0199,4.8288,0.0182,4.4775,0.0243
pets,1054,3.6120,0.0400,4.6082,0.0318,4.6252,0.0356,4.3985,0.0383,4.7941,0.0232,4.1499,0.0394,3.9867,0.0433,4.8017,0.0207,4.7524,0.0227,4.4143,0.0260
