source_model,judged_trials,textual_groundedness,textual_groundedness_se,hallucination_free,hallucination_free_se,concept_counting,concept_counting_se,comprehensibility,comprehensibility_se,conciseness,conciseness_se,specificity,specificity_se,discriminativeness,discriminativeness_se,instruction_following,instruction_following_se,logical_coherence,logical_coherence_se,overall_score,overall_score_se
google/gemini-2.5-flash,1091,4.2108,0.0296,4.8011,0.0198,4.8350,0.0217,4.5023,0.0317,4.9248,0.0110,4.5985,0.0249,4.6269,0.0259,4.9047,0.0119,4.8442,0.0189,4.6943,0.0151
google/gemma-4-26b-a4b-it,1073,3.8267,0.0322,4.8211,0.0190,4.8518,0.0202,4.4511,0.0329,4.8667,0.0164,4.3672,0.0309,4.3458,0.0344,4.8928,0.0142,4.8239,0.0187,4.5830,0.0156
meta-llama/llama-4-scout,1047,3.3066,0.0372,4.4680,0.0346,4.4250,0.0415,4.3906,0.0377,4.7345,0.0234,3.7832,0.0419,3.4947,0.0481,4.7813,0.0208,4.6447,0.0268,4.2254,0.0254
qwen/qwen3-vl-8b-instruct,1028,3.4446,0.0466,4.2733,0.0442,4.0846,0.0516,4.2315,0.0469,4.5866,0.0328,3.7442,0.0503,3.5798,0.0521,4.6284,0.0287,4.6177,0.0276,4.1323,0.0363
