Dataset,Prompt_Type,"(2,2,9)_run0","(2,2,9)_run1","(2,2,9)_run2"
pets,nle,1.0000,1.0000,1.0000
pets,nle,1.0000,1.0000,1.0000
pets,nle,1.0000,0.9444,1.0000
