dataset,prompt_type,model,"(2,1,1)_run0","(2,1,1)_run1"
pets,axioms_ontology_v2,qwen/qwen3.5-9b,1.0000,1.0000
pets,classification,qwen/qwen3.5-9b,1.0000,1.0000
pets,features,qwen/qwen3.5-9b,1.0000,1.0000
pets,nle,qwen/qwen3.5-9b,1.0000,1.0000
pets,rulebased,qwen/qwen3.5-9b,1.0000,1.0000
