Dataset,Prompt_Type,"(2,2,5)","(2,2,8)","(2,1,5)","(2,1,9)","(3,1,5)","(3,1,9)","(4,1,5)","(4,1,9)"
flowers,classification,1.0000,0.5000,0.6000,0.5000,0.3333,0.6296,0.5500,0.3889
pets,classification,0.9000,0.5625,0.9000,0.6111,0.6667,0.5926,0.6500,0.4444
cifar10,classification,0.5000,0.8750,0.6000,0.8889,0.7333,0.6296,0.6500,0.4722
dtd,classification,0.6000,0.6875,0.9000,0.8333,0.6667,0.4444,0.8500,0.9167
