Dataset,Prompt_Type,"(2,2,5)","(2,2,8)","(2,1,5)","(2,1,9)","(3,1,5)","(3,1,9)","(4,1,5)","(4,1,9)"
flowers,axioms_ontology_v2,0.9000,0.6250,0.7000,0.5556,0.4000,0.4815,0.5500,0.3056
pets,axioms_ontology_v2,0.9000,0.6875,0.7000,0.6667,0.6000,0.6296,0.6500,0.5000
cifar10,axioms_ontology_v2,0.6000,0.8125,0.6000,0.7222,0.6667,0.5926,0.7500,0.5556
dtd,axioms_ontology_v2,0.6000,0.6875,0.7000,0.8889,0.4000,0.5556,0.8000,0.8333
