Dataset,Prompt_Type,"(2,2,5)","(2,2,8)","(2,1,5)","(2,1,9)","(3,1,5)","(3,1,9)","(4,1,5)","(4,1,9)"
flowers,features,10.0000,10.0000,5.0000,10.0000,7.0000,19.0000,13.0000,15.0000
pets,features,8.0000,12.0000,9.0000,13.0000,10.0000,19.0000,10.0000,18.0000
cifar10,features,6.0000,16.0000,9.0000,13.0000,10.0000,16.0000,11.0000,16.0000
dtd,features,7.0000,11.0000,6.0000,16.0000,7.0000,11.0000,17.0000,32.0000
