Dataset,Prompt_Type,"(2,2,5)","(2,2,8)","(2,1,5)","(2,1,9)","(3,1,5)","(3,1,9)","(4,1,5)","(4,1,9)"
flowers,rulebased,0.9000,0.6875,0.3000,0.2778,0.4000,0.4444,0.6000,0.3333
pets,rulebased,0.9000,0.6875,0.6000,0.5556,0.6000,0.6667,0.6000,0.3333
cifar10,rulebased,0.5000,0.8750,0.7000,0.6667,0.6000,0.6667,0.5000,0.4722
dtd,rulebased,0.6000,0.6875,0.8000,0.8333,0.6667,0.5556,0.8000,0.8611
