config_k,mean_accuracy,sd,se,ci95_low,ci95_high,n_cells
1,0.890625,0.12976869643568306,0.008376533335907438,0.8742069946616214,0.9070430053383786,240
5,0.9604166666666667,0.08655723431184409,0.005587245449725756,0.9494656655852042,0.9713676677481292,240
