LD,n_trials,mean_accuracy,ci95_low,ci95_high
1,547,0.7129798903107861,0.6736874945243521,0.7493016188614199
2,707,0.842998585572843,0.8143362337883332,0.8679536040602115
3,537,0.9441340782122905,0.9213681855906374,0.9605905986448947
4,1142,0.9693520140105079,0.9576750378870598,0.9778818488588918
5,1666,0.985594237695078,0.9786536756554746,0.9903005053878052
