config_n,config_k,mean_accuracy,sd,se,ci95_low,ci95_high,n_cells
2,1,0.9354166666666666,0.10522145289381724,0.011764116068093364,0.9123589991732036,0.9584743341601295,80
2,5,0.9958333333333333,0.029350685316553278,0.003281506377700903,0.9894015808330395,1.002265085833627,80
3,1,0.8854166666666666,0.13481181862741673,0.01507241953106381,0.8558747243857816,0.9149586089475517,80
3,5,0.959375,0.08385254915624211,0.009375,0.941,0.97775,80
4,1,0.8510416666666666,0.13436687371169592,0.015022673177174078,0.8215972272394054,0.8804861060939277,80
4,5,0.9260416666666667,0.11093021050811869,0.012402374572725743,0.9017330125041242,0.9503503208292091,80
