config_n,config_k,prompt_type,metric,mean,sd,se,ci95_low,ci95_high,n_cells
2,1,axioms_ontology_v2,overall_score,3.489585416666667,0.4378359505536544,0.1094589876384136,3.2750458008953762,3.7041250324379575,16
2,1,features,overall_score,4.465285416666666,0.15425198598577436,0.03856299649644359,4.389701943533637,4.540868889799696,16
2,1,nle,overall_score,4.37153125,0.17951014083342748,0.04487753520835687,4.28357128099162,4.45949121900838,16
2,1,rulebased,overall_score,4.4357703125,0.308372428542008,0.077093107135502,4.284667822514416,4.586872802485583,16
2,5,axioms_ontology_v2,overall_score,3.682027225378788,0.47774075117504144,0.11943518779376036,3.4479342573030176,3.916120193454558,16
2,5,features,overall_score,4.535888541666667,0.18647772468688611,0.04661943117172153,4.444514456570093,4.627262626763241,16
2,5,nle,overall_score,4.571613352272728,0.12953869396703743,0.03238467349175936,4.5081393922288795,4.635087312316576,16
2,5,rulebased,overall_score,4.537045833333333,0.2541639671623493,0.06354099179058732,4.412505489423782,4.661586177242884,16
3,1,axioms_ontology_v2,overall_score,3.425609043560606,0.5577207690346634,0.13943019225866585,3.1523258667336207,3.698892220387591,16
3,1,features,overall_score,4.39294375,0.1961002043197797,0.049025051079944926,4.296854649883308,4.489032850116692,16
3,1,nle,overall_score,4.1712953125,0.25646812057267687,0.06411703014316922,4.045625933419388,4.2969646915806115,16
3,1,rulebased,overall_score,4.346647395833333,0.23546484605748957,0.058866211514372394,4.231269621265163,4.462025170401503,16
3,5,axioms_ontology_v2,overall_score,3.6274197916666666,0.5440196883511275,0.13600492208778187,3.360850144374614,3.893989438958719,16
3,5,features,overall_score,4.465861979166666,0.21674845689075925,0.05418711422268981,4.3596552352901945,4.572068723043138,16
3,5,nle,overall_score,4.462392708333333,0.18196870149263764,0.04549217537315941,4.37322804460194,4.5515573720647255,16
3,5,rulebased,overall_score,4.506478030303031,0.306452048115574,0.0766130120288935,4.356316526726399,4.6566395338796625,16
4,1,axioms_ontology_v2,overall_score,3.46875,0.5230154043655919,0.13075385109139798,3.21247245186086,3.72502754813914,16
4,1,features,overall_score,4.451390104166666,0.18637204344026378,0.046593010860065946,4.360067802880937,4.542712405452396,16
4,1,nle,overall_score,4.3912109375,0.17095300542023412,0.04273825135505853,4.307443964844086,4.474977910155915,16
4,1,rulebased,overall_score,4.396419270833333,0.25182037976316046,0.06295509494079012,4.273027284749385,4.519811256917282,16
4,5,axioms_ontology_v2,overall_score,3.5040541666666667,0.49335110550758443,0.12333777637689611,3.2623121249679503,3.745796208365383,16
4,5,features,overall_score,4.4913265625,0.17452560592186983,0.04363140148046746,4.405809015598284,4.5768441094017165,16
4,5,nle,overall_score,4.357640625,0.2041229896790394,0.05103074741975985,4.25762036005727,4.45766088994273,16
4,5,rulebased,overall_score,4.386312878787878,0.35495694267469835,0.08873923566867459,4.212383976877276,4.5602417806984805,16
