config_n,mean_accuracy,sd,se,ci95_low,ci95_high,n_cells
2,0.965625,0.08274820782333266,0.0065418202254673785,0.952803032358084,0.978446967641916,160
3,0.9223958333333334,0.11789628854739019,0.009320519987254429,0.9041276141583148,0.940664052508352,160
4,0.8885416666666666,0.12845079570885884,0.010154927042524416,0.8686380096633187,0.9084453236700144,160
