prompt_type,model,correct,total,accuracy,standard_error,ci95_low,ci95_high
axioms_ontology_v2,meta-llama/llama-4-scout,256,288,0.8889,0.018519,0.8474,0.9202
classification,meta-llama/llama-4-scout,255,288,0.8854,0.018769,0.8434,0.9172
features,meta-llama/llama-4-scout,255,288,0.8854,0.018769,0.8434,0.9172
nle,meta-llama/llama-4-scout,260,288,0.9028,0.017457,0.8631,0.9319
rulebased,meta-llama/llama-4-scout,249,288,0.8646,0.020162,0.8202,0.8993
