config_n,config_k,model,correct,total,accuracy,standard_error,ci95_low,ci95_high
2,1,meta-llama/llama-4-scout,217,240,0.9042,0.019001,0.8603,0.9353
2,5,meta-llama/llama-4-scout,240,240,1.0000,0.000000,0.9842,1.0000
3,1,meta-llama/llama-4-scout,193,240,0.8042,0.025616,0.7493,0.8494
3,5,meta-llama/llama-4-scout,223,240,0.9292,0.016560,0.8895,0.9553
4,1,meta-llama/llama-4-scout,188,240,0.7833,0.026593,0.7270,0.8308
4,5,meta-llama/llama-4-scout,214,240,0.8917,0.020062,0.8460,0.9250
