prompt_type,correct,total,accuracy,standard_error,ci95_low,ci95_high
axioms_ontology_v2,256,288,0.8889,0.018519,0.8474,0.9202
classification,255,288,0.8854,0.018769,0.8434,0.9172
features,255,288,0.8854,0.018769,0.8434,0.9172
nle,260,288,0.9028,0.017457,0.8631,0.9319
rulebased,249,288,0.8646,0.020162,0.8202,0.8993
