Dataset,Prompt_Type,"(2,2,9)","(2,1,9)","(3,1,9)","(4,1,9)"
cifar10,nle,1.0000,1.0000,0.9630,0.8889
flowers,nle,0.6667,1.0000,0.8889,0.6667
pets,nle,1.0000,1.0000,0.5556,0.6389
dtd,nle,0.9444,0.6667,0.8148,0.5556
