Dataset,Prompt_Type,"(2,2,9)","(2,1,9)","(3,1,9)","(4,1,9)"
flowers,classification,0.6667,1.0000,1.0000,0.3889
pets,classification,1.0000,1.0000,0.6296,0.6667
cifar10,classification,1.0000,1.0000,0.9630,0.8889
dtd,classification,0.8333,0.7222,0.8889,0.6667
