Dataset,Prompt_Type,"(2,2,9)","(2,1,9)","(3,1,9)","(4,1,9)"
flowers,rulebased,0.8333,0.4444,0.3704,0.3056
pets,rulebased,0.5556,0.7222,0.1852,0.2222
dtd,rulebased,0.5556,0.1667,0.5926,0.4167
cifar10,rulebased,0.8333,0.8889,0.9259,0.4167
