Dataset,Prompt_Type,"(2,2,9)","(2,1,9)","(3,1,9)","(4,1,9)"
flowers,axioms_ontology_v2,0.5000,0.9444,0.8889,0.2778
cifar10,axioms_ontology_v2,1.0000,0.5000,0.9630,0.3889
pets,axioms_ontology_v2,0.9444,1.0000,0.3333,0.3889
dtd,axioms_ontology_v2,0.5000,0.5000,0.5926,0.2500
