Dataset,Prompt_Type,"(2,2,9)","(2,1,9)","(3,1,9)","(4,1,9)"
flowers,features,0.5556,0.7778,0.9259,0.5278
pets,features,1.0000,1.0000,0.5185,0.3333
cifar10,features,1.0000,1.0000,0.9630,0.8611
dtd,features,0.7222,0.5000,0.8889,0.3611
