config_n,config_k,model,correct,total,accuracy,standard_error,ci95_low,ci95_high
2,1,google/gemma-4-26b-a4b-it,223,240,0.9292,0.016560,0.8895,0.9553
2,5,google/gemma-4-26b-a4b-it,240,240,1.0000,0.000000,0.9842,1.0000
3,1,google/gemma-4-26b-a4b-it,222,240,0.9250,0.017002,0.8846,0.9520
3,5,google/gemma-4-26b-a4b-it,230,240,0.9583,0.012899,0.9250,0.9772
4,1,google/gemma-4-26b-a4b-it,206,240,0.8583,0.022509,0.8086,0.8968
4,5,google/gemma-4-26b-a4b-it,228,240,0.9500,0.014068,0.9147,0.9712
