prompt_type,correct,total,accuracy,standard_error,ci95_low,ci95_high
axioms_ontology_v2,266,288,0.9236,0.015652,0.8871,0.9490
classification,272,288,0.9444,0.013498,0.9117,0.9655
features,268,288,0.9306,0.014979,0.8952,0.9546
nle,271,288,0.9410,0.013887,0.9075,0.9628
rulebased,272,288,0.9444,0.013498,0.9117,0.9655
