Dataset,Prompt_Type,"(2,2,9)_run0","(2,2,9)_run1","(2,2,9)_run2","(2,1,9)_run0","(2,1,9)_run1","(2,1,9)_run2","(3,1,9)_run0","(3,1,9)_run1","(3,1,9)_run2","(4,1,9)_run0","(4,1,9)_run1","(4,1,9)_run2"
flowers,features,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9630,0.9630,1.0000,1.0000,1.0000,0.9722
pets,features,1.0000,1.0000,1.0000,1.0000,0.9444,0.9444,0.9630,1.0000,1.0000,1.0000,1.0000,1.0000
cifar10,features,0.9444,1.0000,0.9444,0.8889,0.8889,0.9444,0.9630,0.9259,0.9259,0.9444,0.8333,0.9444
dtd,features,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9259,0.9259,0.9630,0.7500,0.7778,0.8889
