Dataset,Prompt_Type,"(2,2,9)_run0","(2,2,9)_run1","(2,2,9)_run2","(2,1,9)_run0","(2,1,9)_run1","(2,1,9)_run2","(3,1,9)_run0","(3,1,9)_run1","(3,1,9)_run2","(4,1,9)_run0","(4,1,9)_run1","(4,1,9)_run2"
flowers,axioms_ontology_v2,1.0000,1.0000,1.0000,0.8889,0.9444,0.9444,0.9630,1.0000,1.0000,0.9444,1.0000,0.9722
cifar10,axioms_ontology_v2,1.0000,0.9444,0.9444,0.8333,0.9444,0.9444,1.0000,0.8889,0.8519,0.9722,0.8611,0.9167
pets,axioms_ontology_v2,1.0000,1.0000,1.0000,1.0000,0.9444,0.9444,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
dtd,axioms_ontology_v2,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9259,0.9630,1.0000,0.7778,0.8333,0.8889
