prompt_type,n_in_all_3_conditions,n_A_GPT_qo_total,n_B_Qwen_qo_total,n_C_Qwen_qas_total
axioms_ontology_v2,497,1146,588,985
features,999,1152,1062,1084
nle,1030,1151,1075,1101
rulebased,978,1150,1050,1069
