prompt_a,prompt_b,matched_trials,mean_overall_a,mean_overall_b,wilcoxon_statistic,p_value
axioms_ontology_v2,features,203,3.5884,4.4302,2434.0000,0.000000
axioms_ontology_v2,nle,203,3.5884,4.1724,4593.5000,0.000000
axioms_ontology_v2,rulebased,203,3.5884,4.4997,2083.0000,0.000000
features,nle,288,4.4144,4.2053,11404.5000,0.000014
features,rulebased,288,4.4144,4.4896,14219.0000,0.038133
nle,rulebased,288,4.2053,4.4896,11258.0000,0.000000
