prompt_a,prompt_b,matched_trials,mean_overall_a,mean_overall_b,wilcoxon_statistic,p_value
axioms_ontology_v2,features,287,3.4162,4.4305,4196.5000,0.000000
axioms_ontology_v2,nle,287,3.4162,4.4146,4681.0000,0.000000
axioms_ontology_v2,rulebased,287,3.4162,4.4657,4501.0000,0.000000
features,nle,288,4.4313,4.4159,17087.5000,0.668176
features,rulebased,288,4.4313,4.4672,14652.0000,0.129722
nle,rulebased,288,4.4159,4.4672,16064.0000,0.250519
