config_n,config_k,model,correct,total,accuracy,standard_error,ci95_low,ci95_high
2,1,qwen/qwen3-vl-8b-instruct,228,240,0.9500,0.014068,0.9147,0.9712
2,5,qwen/qwen3-vl-8b-instruct,236,240,0.9833,0.008264,0.9579,0.9935
3,1,qwen/qwen3-vl-8b-instruct,202,240,0.8417,0.023564,0.7901,0.8824
3,5,qwen/qwen3-vl-8b-instruct,228,240,0.9500,0.014068,0.9147,0.9712
4,1,qwen/qwen3-vl-8b-instruct,206,240,0.8583,0.022509,0.8086,0.8968
4,5,qwen/qwen3-vl-8b-instruct,216,240,0.9000,0.019365,0.8555,0.9319
