prompt_type,model,correct,total,accuracy,standard_error,ci95_low,ci95_high
axioms_ontology_v2,qwen/qwen3-vl-8b-instruct,239,288,0.8299,0.022142,0.7822,0.8688
classification,qwen/qwen3-vl-8b-instruct,274,288,0.9514,0.012672,0.9201,0.9708
features,qwen/qwen3-vl-8b-instruct,270,288,0.9375,0.014264,0.9034,0.9601
nle,qwen/qwen3-vl-8b-instruct,267,288,0.9271,0.015321,0.8911,0.9518
rulebased,qwen/qwen3-vl-8b-instruct,266,288,0.9236,0.015652,0.8871,0.9490
