Dataset,Prompt_Type,"(2,2,9)","(2,1,9)","(3,1,9)","(4,1,9)"
flowers,axioms_ontology_v2,1.0000,1.0000,1.0000,0.8333
cifar10,axioms_ontology_v2,1.0000,1.0000,0.9259,0.8889
dtd,axioms_ontology_v2,1.0000,1.0000,0.8889,0.8056
pets,axioms_ontology_v2,1.0000,1.0000,1.0000,1.0000
