Dataset,Prompt_Type,"(2,2,9)","(2,1,9)","(3,1,9)","(4,1,9)"
flowers,features,1.0000,0.9444,1.0000,0.9722
pets,features,1.0000,1.0000,1.0000,1.0000
cifar10,features,1.0000,0.9444,0.8889,0.9167
dtd,features,1.0000,1.0000,0.8889,0.7500
