Dataset,Prompt_Type,"(2,2,9)","(2,1,9)","(3,1,9)","(4,1,9)"
flowers,classification,1.0000,1.0000,1.0000,0.9444
pets,classification,1.0000,1.0000,1.0000,0.9722
cifar10,classification,1.0000,1.0000,0.8889,0.9722
dtd,classification,0.9444,1.0000,0.8519,0.7500
