Dataset,Prompt_Type,"(2,2,9)","(2,1,9)","(3,1,9)","(4,1,9)"
flowers,nle,1.0000,1.0000,0.9259,0.8889
cifar10,nle,1.0000,1.0000,0.8519,0.9167
pets,nle,1.0000,1.0000,0.9630,1.0000
dtd,nle,0.9444,1.0000,0.9259,0.7500
