Dataset,Prompt_Type,"(2,2,9)","(2,1,9)","(3,1,9)","(4,1,9)"
pets,rulebased,1.0000,1.0000,0.8148,1.0000
flowers,rulebased,1.0000,1.0000,0.9630,0.8611
cifar10,rulebased,1.0000,0.9444,0.8519,0.8611
dtd,rulebased,1.0000,0.9444,0.8889,0.7500
