prompt_type,correct,total,accuracy,standard_error,ci95_low,ci95_high
axioms_ontology_v2,4,4,1.0000,0.000000,0.5101,1.0000
classification,4,4,1.0000,0.000000,0.5101,1.0000
features,4,4,1.0000,0.000000,0.5101,1.0000
nle,4,4,1.0000,0.000000,0.5101,1.0000
rulebased,4,4,1.0000,0.000000,0.5101,1.0000
