prompt_type,model,dataset,config_n,config_k,correct,total,accuracy,standard_error,ci95_low,ci95_high
axioms_ontology_v2,meta-llama/llama-4-scout,flowers,2,1,4,4,1.0000,0.000000,0.5101,1.0000
classification,meta-llama/llama-4-scout,flowers,2,1,4,4,1.0000,0.000000,0.5101,1.0000
features,meta-llama/llama-4-scout,flowers,2,1,4,4,1.0000,0.000000,0.5101,1.0000
nle,meta-llama/llama-4-scout,flowers,2,1,4,4,1.0000,0.000000,0.5101,1.0000
rulebased,meta-llama/llama-4-scout,flowers,2,1,4,4,1.0000,0.000000,0.5101,1.0000
