prompt_a,prompt_b,matched_trials,mean_overall_a,mean_overall_b,wilcoxon_statistic,p_value
axioms_ontology_v2,features,288,3.5343,4.3468,2318.5000,0.000000
axioms_ontology_v2,nle,288,3.5343,4.2994,2802.0000,0.000000
axioms_ontology_v2,rulebased,288,3.5343,4.2728,3033.5000,0.000000
features,nle,288,4.3468,4.2994,14847.5000,0.121206
features,rulebased,288,4.3468,4.2728,14949.5000,0.040728
nle,rulebased,288,4.2994,4.2728,16210.5000,0.679829
