prompt_a,prompt_b,matched_trials,mean_overall_a,mean_overall_b,wilcoxon_statistic,p_value
axioms_ontology_v2,features,4,3.9000,4.7250,0.0000,0.125000
axioms_ontology_v2,nle,4,3.9000,3.8750,3.0000,1.000000
axioms_ontology_v2,rulebased,4,3.9000,4.1750,0.0000,0.250000
features,nle,4,4.7250,3.8750,0.0000,0.125000
features,rulebased,4,4.7250,4.1750,0.0000,0.250000
nle,rulebased,4,3.8750,4.1750,3.0000,0.625000
