Dataset,Prompt_Type,"(2,2,5)","(2,2,8)","(2,1,5)","(2,1,9)","(3,1,5)","(3,1,9)","(4,1,5)","(4,1,9)"
flowers,rulebased,0.7000,0.2500,0.5000,0.5000,0.3333,0.2593,0.2500,0.2500
cifar10,rulebased,0.7000,0.8750,1.0000,1.0000,1.0000,0.9259,0.9000,0.8889
dtd,rulebased,0.6000,0.6875,0.5000,0.9444,0.2667,0.4444,0.8000,0.4722
pets,rulebased,0.8000,0.5000,0.9000,0.8889,0.6000,0.2593,0.5000,0.2500
