Dataset,Prompt_Type,"(2,2,5)","(2,2,8)","(2,1,5)","(2,1,9)","(3,1,5)","(3,1,9)","(4,1,5)","(4,1,9)"
flowers,features,0.9000,0.6250,0.9000,0.5000,0.8667,0.7037,0.5000,0.8333
pets,features,1.0000,0.6250,1.0000,1.0000,0.9333,0.7778,0.8000,0.9167
cifar10,features,1.0000,0.8750,1.0000,1.0000,1.0000,0.9630,1.0000,1.0000
dtd,features,1.0000,0.5000,0.9000,0.6667,0.6000,0.5926,1.0000,0.6667
