Dataset,Prompt_Type,"(2,2,5)","(2,2,8)","(2,1,5)","(2,1,9)","(3,1,5)","(3,1,9)","(4,1,5)","(4,1,9)"
cifar10,classification,1.0000,0.8750,1.0000,1.0000,1.0000,0.9630,1.0000,1.0000
flowers,classification,0.9000,0.5625,1.0000,0.7222,0.9333,1.0000,0.6000,0.9167
pets,classification,1.0000,0.8125,1.0000,1.0000,1.0000,0.6296,0.7500,0.8056
dtd,classification,0.8000,0.5000,0.7000,0.6111,0.8000,0.5926,1.0000,0.6389
