Dataset,Prompt_Type,"(2,2,5)","(2,2,8)","(2,1,5)","(2,1,9)","(3,1,5)","(3,1,9)","(4,1,5)","(4,1,9)"
flowers,axioms_ontology_v2,0.5000,0.5000,0.5000,0.5000,0.5333,0.4074,0.3500,0.3889
cifar10,axioms_ontology_v2,1.0000,0.6250,0.9000,1.0000,0.7333,0.7778,0.7500,0.8889
pets,axioms_ontology_v2,0.5000,0.5000,1.0000,0.5556,0.6667,0.4444,0.7500,0.5000
dtd,axioms_ontology_v2,0.7000,0.5000,0.6000,0.5556,0.5333,0.6296,0.7500,0.5000
